Last,1 month,3 month,P/NTA
60.8,60.3,63.3,1.83
5.7,3.7,5.3,0.97
20.4,19.2,20.4,196.67
56.3,41.2,39,n.m.
-38.7,-40.6,-29.63,n.m.
15.4,15.3,14.6,1.12
41,38.19,36.82,1.11
-21.9,-16.7,11.1,1.31
-50.6,-37.4,-35.1,9.54
25.8,22.3,9,4.49
37,57.8,71.2,2.56
18.3,20.4,17,1.28
9.1,11.1,11.1,1.07
10,11.5,13.4,1.22
39.1,39.7,37.3,1.08
20,25,28.8,0.66
20,31,34.5,1.79
69.6,67.6,66.7,0.75
222.6,162.3,174.7,0.93
100,117.8,122.7,0.5
2.4,4.5,5.5,0.68
-27.3,-33.3,-38.5,0.18
16.7,20.4,22.5,0.7
96.1,87.3,79.2,0.58
21.2,26.3,27,0.8
-93.3,-93.1,-96.6,n.m.
41.7,67.3,34.1,0.82
161.5,188.1,151.9,5.2
90.5,103.5,103.5,1.9
25.5,45.7,60.5,0.47
15.4,19.1,20,0.86
23.5,23,21,2.3
45,49,56,5.38
50.6,30.6,45.5,0.81
48.6,51,32.9,1.01
115.1,100.8,104.5,0.43
15.5,11.1,13.1,1.7
87.7,96.4,82.5,1.06
46,69.2,98.4,1.93
6.1,5.2,7.1,2.25
47.7,42.8,46.2,1.5
52.4,67.4,62.4,0.65
25.1,49.6,50,1.48
27,40.9,42.5,2.6
23.5,37.9,43.4,3.9
72.4,65.6,67.2,1.34
10.8,25.2,39.9,0.745
18.1,12.8,8,n.a.
50,49.3,49.3,1.3
-0.722222222,n.a.,n.a.,n.m.
33.9,38,44.1,1.24
-85.7,-91.7,-95.7,n.a.
25,26.9,26.3,0.18
22.9,21.8,25.3,1.1
-60.3,n.a.,n.a.,1.05
2.6,8.5,16.5,1.7
40.4,28.5,36.9,0.64
-23.86,-23.86,-33.4,13.4
153.9,273.6,385.1,13.05
39.1,44.8,43.5,2.3
37.3,44.4,47.6,6.1
1.6,5,8,0.73
-32.5,35,-61.4,n.a.
8.7,10.8,10.7,2.8
14.9,16.6,19.5,0.78
2.020833333,n.a.,n.a.,1.80798005
25,24.8,23.1,0.72
29.2,38.6,21,0.44
18.6,20.5,26.8,0.9
23.08,50.94,65,1.1
13.5,19,21.6,3.7
62.5,60.5,62.6,2.69
26.2,29.6,30.3,3.05
4.35,10.6,23.08,0.8
22.8,20.7,20.7,0.7
n.m.,n.m.,n.m.,0.85
13.4,17.7,23.8,1.47
2.4,8.9,15,0.66
21.4,20.9,23.4,1
0,14,20.5,1.11
14.1,18.1,21.7,0.53
19.9,28.3,32.9,0.56
50,65,65,0.28
12.6,13.8,12,0.75
5.9,6.4,14.8,1.5
24.5,26.2,32,1.15
8.5,9.4,15.9,0.669
18.8,34.6,30.5,1.7
-5.4,0.6,3.91,3.2
45.3,46.6,48.2,0.4
23.2,24.3,28.2,0.8
7.9,11.5,12.8,0.86
64.1,67.4,72.4,1.1
31.3,46.9,63.6,1.54
125,127,103.9,0.3
62.5,62.9,62.7,0.8125
-81.8,-87.9,-86,0.572
68.2,93,96.1,2.8
33.1,30.3,35.3,0.81
1.6,30.1,41.3,1.17
-77.8,n.a.,n.a.,n.m.
20.1,19.3,25.1,1.26
252.9,259.7,284.3,0.71
44.4,38,9,0.89
-17.7,-9.6,-3.5,n.m.
164.9,160.2,167.9,1.2
-98,-98.2,-98.7,n.m.
0,-0.9,2.5,0.9
n.a.,n.a.,n.a.,0.78
68.75,50,29.81,1.5
n.a.,n.a.,n.a.,
27.5,29.5,29.2,0.43
4.6,11.8,17.3,0.970942047
42.9,47.5,49.1,0.715
